model,experiment,k,seed,n_train_samples,best_epoch,best_val_macro_f1,test_accuracy,test_macro_f1,test_auc,trainable_params,total_clip_params,lora_rank,lora_alpha,lora_dropout,lora_layers,clip_lora_targets,biomed_lora_targets,head_lr,lora_lr,lr_min,accumulation_steps,use_eval_preprocess_for_train
biomedclip,fewshot_lora,1,1,3,11,0.46784614228833293,0.5684210526315789,0.46480231436837033,0.666422388182023,148995,196050177,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,1,2,3,11,0.32078853046594985,0.43157894736842106,0.2738915989159892,0.5031766447435818,148995,196050177,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,1,3,3,7,0.41944444444444445,0.5789473684210527,0.4219607843137256,0.5378027229700657,148995,196050177,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,1,4,3,18,0.482943469785575,0.45263157894736844,0.43761044176706826,0.6855228758169934,148995,196050177,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,1,5,3,28,0.5759302013581132,0.5894736842105263,0.5685339357681741,0.760343137254902,148995,196050177,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,1,6,3,22,0.48593322386425836,0.5368421052631579,0.47902087247981306,0.8302850513246051,148995,196050177,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,1,7,3,5,0.6319433286559479,0.6105263157894737,0.5901505901505901,0.7875227938615362,148995,196050177,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,1,8,3,1,0.4937746256895193,0.6210526315789474,0.598202614379085,0.7448651832728911,148995,196050177,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,1,9,3,15,0.33461173614581946,0.21052631578947367,0.267667292057536,0.5682127051447539,148995,196050177,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,1,10,3,12,0.49595959595959593,0.49473684210526314,0.4940607964959889,0.8302321388325445,148995,196050177,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,2,1,6,39,0.6302069091240542,0.6210526315789474,0.6123913043478261,0.8166036634089373,148995,196050177,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,2,2,6,52,0.46341263582642894,0.4842105263157895,0.4884004884004884,0.7592149691642591,148995,196050177,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,2,3,6,4,0.37776472890976703,0.5789473684210527,0.4051094890510949,0.4623738910402196,148995,196050177,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,2,4,6,43,0.6534836817015034,0.6526315789473685,0.6268774434812171,0.8107715081853014,148995,196050177,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,2,5,6,4,0.37317290552584675,0.3894736842105263,0.2832296776753765,0.42571132214641344,148995,196050177,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,2,6,6,22,0.7066666666666667,0.7052631578947368,0.6762554959015487,0.8294932079414838,148995,196050177,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,2,7,6,17,0.631942131942132,0.6421052631578947,0.5668512613973262,0.8175830823447456,148995,196050177,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,2,8,6,72,0.7087514934289127,0.6526315789473685,0.6005829241460732,0.870274397115168,148995,196050177,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,2,9,6,26,0.45721583652618136,0.37894736842105264,0.3855999111301546,0.6971973282520949,148995,196050177,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,2,10,6,8,0.5449362843729041,0.5684210526315789,0.5611081654294804,0.7971418034298359,148995,196050177,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
