model,experiment,k,seed,n_train_samples,best_epoch,best_val_macro_f1,test_accuracy,test_macro_f1,test_auc,trainable_params,total_clip_params,lora_rank,lora_alpha,lora_dropout,lora_layers,clip_lora_targets,biomed_lora_targets,head_lr,lora_lr,lr_min,accumulation_steps,use_eval_preprocess_for_train
openai_clip,fewshot_lora,1,1,3,4,0.3373737373737374,0.4631578947368421,0.25681847174384487,0.4802884832093757,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,1,2,3,19,0.45894199540415154,0.45263157894736844,0.3941038739889315,0.553546980965845,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,1,3,3,31,0.3725036310820624,0.35789473684210527,0.3493886274999653,0.5982136271436475,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,1,4,3,21,0.30123456790123454,0.5052631578947369,0.26871980676328505,0.507131097998238,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,1,5,3,3,0.34315272284538967,0.4842105263157895,0.3747863247863248,0.5522710881635832,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,1,6,3,33,0.5019981988067095,0.5473684210526316,0.49348659003831424,0.6588843301165817,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,1,7,3,43,0.524070132765785,0.5263157894736842,0.5321092700403045,0.7724345380785542,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,1,8,3,22,0.4247811390668534,0.43157894736842106,0.3689103423616698,0.5387665703690043,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,1,9,3,23,0.3677479015507184,0.3473684210526316,0.34810319461958805,0.5867891388530334,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,1,10,3,86,0.2540051679586563,0.35789473684210527,0.32218117131910234,0.5788017599934435,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,2,1,6,20,0.46950340170679156,0.29473684210526313,0.2649010248875179,0.5676284651791751,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,2,2,6,4,0.4307012547679456,0.3263157894736842,0.2977113325950535,0.537563515479337,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,2,3,6,15,0.26690049239068847,0.37894736842105264,0.36188526741195615,0.5176605814739689,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,2,4,6,17,0.36141361950185474,0.3157894736842105,0.29664857833871916,0.5508296965599196,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,2,5,6,13,0.4020296643247463,0.3473684210526316,0.35255832826131056,0.5879457864650562,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,2,6,6,7,0.4313459801264679,0.47368421052631576,0.3020833333333333,0.6057183395824369,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,2,7,6,27,0.3429951690821256,0.42105263157894735,0.3739002932551319,0.5874241912020817,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,2,8,6,46,0.4893349411963019,0.43157894736842106,0.4016493436783291,0.6366529391275841,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,2,9,6,43,0.4527064902147157,0.49473684210526314,0.4824717765894236,0.692273444382978,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,2,10,6,17,0.451936715766503,0.45263157894736844,0.40587323710295226,0.6527557522486528,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,4,1,12,75,0.6770578562644226,0.5368421052631579,0.5166502534923588,0.6896947159218966,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,4,2,12,33,0.47425061978814514,0.45263157894736844,0.4174108232079246,0.643715501874731,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,4,3,12,51,0.621641892615856,0.49473684210526314,0.49294615849969753,0.7048327596451328,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,4,4,12,32,0.5774755416017946,0.5894736842105263,0.5560724163942671,0.7547928575819043,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,4,5,12,42,0.5963407661520869,0.43157894736842106,0.36137566137566135,0.6747603827319851,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,4,6,12,34,0.4444444444444445,0.4105263157894737,0.4060985797827903,0.6216627225602885,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,4,7,12,46,0.5358620282670915,0.4105263157894737,0.41361573869313806,0.7432476898805499,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,4,8,12,48,0.6775586770915588,0.6105263157894737,0.5979468599033816,0.8035715163808469,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,4,9,12,17,0.4714687862228846,0.6421052631578947,0.4945096899556103,0.753829932181859,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,4,10,12,27,0.6492640692640693,0.49473684210526314,0.48991596638655466,0.755349437580675,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,8,1,24,13,0.5882012724117988,0.4842105263157895,0.4666666666666666,0.671332083512611,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,8,2,24,33,0.6518572666233484,0.5052631578947369,0.5025058794907143,0.7340501874731084,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,8,3,24,14,0.4494034778780542,0.4421052631578947,0.4235900290089725,0.7011238654291393,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,8,4,24,44,0.6123876123876124,0.5789473684210527,0.5548821548821549,0.7795945253754585,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,8,5,24,13,0.5315332371679288,0.42105263157894735,0.39275277959066085,0.6347734956051386,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,8,6,24,24,0.5496296296296296,0.4631578947368421,0.46387716811090884,0.6729124408384043,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,8,7,24,23,0.5590223301066675,0.6105263157894737,0.6025568305772504,0.7594162210338681,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,8,8,24,15,0.5124320124320124,0.47368421052631576,0.39478458049886617,0.6509511955252321,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,8,9,24,36,0.5223526755475276,0.5368421052631579,0.5017918313570487,0.7654879423033581,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,8,10,24,18,0.5695767195767196,0.4105263157894737,0.37031873599037773,0.684459196426742,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,16,1,48,5,0.6142241379310345,0.5263157894736842,0.5063041765169425,0.667182217714672,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,16,2,48,4,0.46085835880836784,0.3894736842105263,0.38966218966218963,0.5904700145470937,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,16,3,48,9,0.5803872053872053,0.4631578947368421,0.45924833251382746,0.6842667035466224,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,16,4,48,40,0.6345781084929493,0.5578947368421052,0.5392247894298755,0.74484612862909,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,16,5,48,40,0.6619500479344751,0.5368421052631579,0.5324283559577677,0.7435239822156658,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,16,6,48,38,0.7926415437455181,0.6947368421052632,0.676495594486857,0.8603180383961316,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,16,7,48,55,0.7664021164021163,0.7263157894736842,0.7021505376344086,0.8880323519167334,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,16,8,48,48,0.6462369917139908,0.5052631578947369,0.508545751633987,0.7685198332206445,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,16,9,48,30,0.7591138357741772,0.6105263157894737,0.6104694890608547,0.8326112545331612,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,16,10,48,35,0.659193561632586,0.6947368421052632,0.6886272960921356,0.8498951482369331,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,32,1,96,9,0.6137905576558343,0.47368421052631576,0.45977605512489234,0.6787716413629193,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,32,2,96,84,0.7874232375337756,0.6210526315789474,0.6137023859033008,0.842222478333026,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,32,3,96,42,0.7773505929259513,0.6947368421052632,0.6885531175637601,0.8589302251726186,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,32,4,96,41,0.7570380028007148,0.6842105263157895,0.6775926207105982,0.8627717847849694,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,32,5,96,42,0.7896863370547581,0.7157894736842105,0.7123137021650976,0.8610231626610937,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,32,6,96,18,0.7793899890674085,0.6736842105263158,0.6658140738710757,0.8544814268445099,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,32,7,96,28,0.7364101213597559,0.5894736842105263,0.5853529817724191,0.8281702931956482,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,32,8,96,37,0.776985541691424,0.6631578947368421,0.6582420172027806,0.8511794926957199,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,32,9,96,44,0.7917430173801988,0.7368421052631579,0.7212055248405926,0.8844655479746758,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
openai_clip,fewshot_lora,32,10,96,39,0.7506010878830622,0.7052631578947368,0.6910463192721258,0.8539498944823488,198147,149817345,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
