model,experiment,k,seed,n_train_samples,best_epoch,best_val_macro_f1,test_accuracy,test_macro_f1,test_auc,trainable_params,total_clip_params,lora_rank,lora_alpha,lora_dropout,lora_layers,clip_lora_targets,biomed_lora_targets,head_lr,lora_lr,lr_min,accumulation_steps,use_eval_preprocess_for_train
unimedclip,fewshot_lora,1,1,3,40,0.3875189138347033,0.2631578947368421,0.2592888724302002,0.48543205892597374,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,1,2,3,4,0.3394129979035639,0.4631578947368421,0.40166369578134287,0.5858593541909972,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,1,3,3,18,0.24349206349206345,0.3684210526315789,0.3245791245791246,0.488348904870203,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,1,4,3,56,0.4406187800023416,0.29473684210526313,0.28089330024813897,0.531380693343168,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,1,5,3,25,0.40349825087456276,0.3894736842105263,0.3577712609970674,0.525184041223595,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,1,6,3,3,0.4934886235195833,0.4842105263157895,0.3878278584160937,0.5903220849468314,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,1,7,3,35,0.43537520461790297,0.37894736842105264,0.3810469100791682,0.6697914233614032,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,1,8,3,11,0.36827784099342015,0.49473684210526314,0.3285382156349898,0.5645483742086176,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,1,9,3,31,0.4120743034055727,0.3263157894736842,0.3035181872391175,0.5319292314627001,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,1,10,3,5,0.3355891943554281,0.4631578947368421,0.33505768063145114,0.5418092691622104,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,2,1,6,51,0.5197638182712809,0.37894736842105264,0.3661375661375661,0.5741477656893478,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,2,2,6,27,0.4635159448623684,0.3263157894736842,0.326386782664219,0.5862908496732026,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,2,3,6,15,0.28471894154804245,0.3473684210526316,0.3378103378103378,0.4810305898744032,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,2,4,6,17,0.43912622352169706,0.3263157894736842,0.3221638841366291,0.5791013071895424,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,2,5,6,42,0.385988085988086,0.35789473684210527,0.3376481674354015,0.4555152437150409,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,2,6,6,29,0.4922370676262166,0.4105263157894737,0.39515409963171155,0.5330749687544819,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,2,7,6,22,0.3643467643467644,0.28421052631578947,0.2343859649122807,0.5893725285307435,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,2,8,6,59,0.39793173739030996,0.5052631578947369,0.34694405630595665,0.6031494457762206,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,2,9,6,23,0.36925903245560315,0.3157894736842105,0.2719772742736613,0.5466775769869076,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,2,10,6,31,0.5270986397568675,0.47368421052631576,0.47258531258531256,0.7074369455201098,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,4,1,12,74,0.5664504706943806,0.5789473684210527,0.5202752159273899,0.7497218124449362,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,4,2,12,2,0.19313113291703835,0.18947368421052632,0.1722222222222222,0.5391497633536173,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,4,3,12,21,0.5114962651727358,0.5368421052631579,0.4782683982683982,0.6240224250619788,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,4,4,12,81,0.5186553548622513,0.5263157894736842,0.5277638540796435,0.792709191304526,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,4,5,12,1,0.1783977339532895,0.23157894736842105,0.1834002677376171,0.4848474604052697,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,4,6,12,10,0.5292753623188405,0.43157894736842106,0.42049517641503065,0.6465108488536481,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,4,7,12,10,0.4949853504620239,0.43157894736842106,0.41500000000000004,0.6388064724322331,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,4,8,12,14,0.4852941176470589,0.6,0.4275409130060293,0.6751165816378798,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,4,9,12,85,0.49287401462762165,0.47368421052631576,0.4618803418803418,0.6492729526502347,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,4,10,12,19,0.5337256183938106,0.5473684210526316,0.4805031446540881,0.6799209129837932,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,8,1,24,18,0.3790277871245406,0.43157894736842106,0.42347607807875315,0.55696990185834,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,8,2,24,42,0.4570765959360405,0.4842105263157895,0.4813953146801791,0.6973317864240784,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
